nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
2,,,,,,,,,,,,2.831265266
3,,,,,,,,,,,,2.986858818
4,,,,,,,,,,,,3.075427455
5,,,,,,,,,,,,3.144846116
6,,,,,,,,,,,,3.190327308
7,,,,,,,,,,,,3.226233512
8,,,,,,,,,,,,3.252564729
9,,,,,,,,,,,,3.274108451
10,,,,,,,,,,,,3.29086468
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
