1/nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
0.5,,,,,,,,,,,,0.353198979
0.333333333,,,,,,,,,,,,0.334799889
0.25,,,,,,,,,,,,0.325158052
0.2,,,,,,,,,,,,0.317980583
0.166666667,,,,,,,,,,,,0.313447463
0.142857143,,,,,,,,,,,,0.309958965
0.125,,,,,,,,,,,,0.307449685
0.111111111,,,,,,,,,,,,0.305426657
0.1,,,,,,,,,,,,0.303871504
0.090909091,,,,,,,,,,,,
0.083333333,,,,,,,,,,,,
0.076923077,,,,,,,,,,,,
0.071428571,,,,,,,,,,,,
0.066666667,,,,,,,,,,,,
0.0625,,,,,,,,,,,,
0.058823529,,,,,,,,,,,,
0.055555556,,,,,,,,,,,,
0.052631579,,,,,,,,,,,,
0.05,,,,,,,,,,,,
0.047619048,,,,,,,,,,,,
0.045454545,,,,,,,,,,,,
0.043478261,,,,,,,,,,,,
0.041666667,,,,,,,,,,,,
0.04,,,,,,,,,,,,
0.038461538,,,,,,,,,,,,
0.037037037,,,,,,,,,,,,
0.035714286,,,,,,,,,,,,
0.034482759,,,,,,,,,,,,
