nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
2,0.5732930948105968,,0.5700008198501255,,,,0.557139280639786,,,,0.5448818582298692,0.5419258898000852
3,0.6642424419643193,,0.6572054461510837,,,,0.6297667533498849,,,,0.6039642008408976,0.5978374399455795
4,0.7449980166612942,,0.7353742899788216,,,,0.6966391534014765,,,,0.6588257490341795,0.6497166934804017
5,0.8066988532265272,,0.7947234690729074,,,,0.7457417687524265,,,,0.6971660688765915,0.6854313730129453
6,0.8625051582348652,,0.8487920857054082,,,,0.7914380435143882,,,,0.7330568875471215,0.7188233533613569
7,0.9083782441139338,,0.8930929321180979,,,,0.8281621266868939,,,,0.7609320516978199,0.7444696525697219
8,0.9506190604141233,,0.9341372610332612,,,,0.8628342375935577,,,,0.7873781198181038,0.7687645708513761
9,0.9867784041237482,,0.9692091288300558,,,,0.8921010157850663,,,,0.8091319268334166,0.7885675153174231
10,1.020486194970324,,1.0020825141159664,,,,0.9200110787299342,,,,0.829965053008814,0.8075049771006871
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
