1/nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
2,,,,,,,,,,,,0.499202754
3,,,,,,,,,,,,0.549410881
4,,,,,,,,,,,,0.588455207
5,,,,,,,,,,,,0.62022776
6,,,,,,,,,,,,0.646541894
7,,,,,,,,,,,,0.668994142
8,,,,,,,,,,,,0.68840003
9,,,,,,,,,,,,0.705485159
10,,,,,,,,,,,,0.720659361
11,,,,,,,,,,,,0.734303148
12,,,,,,,,,,,,0.746648338
13,,,,,,,,,,,,0.757916892
14,,,,,,,,,,,,0.768250789
15,,,,,,,,,,,,0.777790254
16,,,,,,,,,,,,0.786627929
17,,,,,,,,,,,,0.794857284
18,,,,,,,,,,,,0.802542592
19,,,,,,,,,,,,0.809748758
20,,,,,,,,,,,,0.816521987
21,,,,,,,,,,,,0.822909079
22,,,,,,,,,,,,0.828943798
23,,,,,,,,,,,,0.83466152
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
