p,sqrt_log,hiperbolic,linear_power_law,zeta_function,hurwitz_zeta_2_params,sqrt_log_two,sqrt_log_three,Uzelac_1988,Glumac_1989,Cannas_1995,Nagle-Bonner_1970,Glumac_1993,Monroe_1990,Pires_1995,Cannas_Magalhaes_1997,Monroe_1992_up,Monroe_1992_down,Luijten_1997,avg_hurwitz
1,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,,,,,,nan
1.05,,,,,40.80246162,,,,,,,,,,,,,,41.257429
1.1,7.872751253,5.751943046,3.14E+12,19.71190655,20.00104809,12.89023264,8.076524793,18.759,19.81,19.158,,21.57497303,20.959,21.3027,20.8,21.161,10.575,21.00125588,20.068255
1.2,5.612626041,4.745916018,3.05E+09,9.538170176,9.695782959,6.293815894,5.679257453,10.552,10.84,10.18,10.7973,10.9229929,10.791,11.1369,,11.177,5.579,10.84198885,9.621052
1.25,,,,,,,,,,,,,,,,,,8.760940224,6.230153
1.3,4.47376504,4.053685763,5.16E+09,6.202063892,6.289980137,4.578845708,4.493146286,7.27,7.341,6.894,7.30163,7.361059993,7.298,7.60897,6.96,7.858,3.909,7.346836819,6.230153
1.4,3.708310788,3.480916881,1.66E+10,4.580185266,4.642782414,3.696539766,3.716110604,5.483,5.511,5.13,5.47819,5.517241379,5.492,5.71333,,6.192,3.069,5.520256582,4.598549
1.5,3.165903055,3.030140581,2.97962745,3.635074483,3.66496645,3.136273781,3.168620416,4.339,4.3547,4.048,4.33393,4.357298475,4.363,4.44288,4,5.199,2.562,4.363820438,3.642895
1.52,,,,,,,,,4.1698,,,,,4.22919,,,,,
1.55,,,,,,,,,,,,,,,,,,3.925078109,
1.6,2.767915722,2.676383305,2.656546764,3.022701869,3.028432265,2.740528452,2.767826468,3.53,3.547,3.206,3.53151,3.543586109,3.577,3.45494,,4.538,2.221,3.54861604,3.028931
1.65,,,,,,,,,,,,,,,,,,3.220611916,
1.7,2.455182183,2.388540025,2.387570944,2.595593695,2.584630417,2.441227879,2.454807753,2.916,2.929,2.605,2.91709,2.926972047,2.987,2.5942,2.56,4.067,1.974,2.930514569,2.602723
1.75,,,,,,,,,,,,,,,,,,2.670005954,
1.8,2.208359032,2.155397958,2.165907004,2.284565436,2.26097411,2.207747229,2.208659329,2.421,2.431,2.044,2.42431,2.429838416,2.517,1.77241,,3.716,1.787,2.432557348,2.294326
1.85,,,,,,,,,,,,,,,,,,2.21189513,
1.9,2.010602241,1.967033208,1.982804329,2.049065771,2.016436058,2.019949647,2.012011629,2.008,2.004,1.603,2.00346,2.005414619,2.116,0.926607,1.54,3.44,1.639,2.001481096,2.061325
1.92,,,,,,,,,1.928,,,,,,,,,,
1.94,,,,,,,,,1.858,,,,,,,,,,
1.95,,,,,,,,,,,,,,,,,,1.790125667,
1.96,,,,,,,,,1.7935,,,,,,,,,,
1.98,,,,,,,,,1.733,,,,,,,,,,
2,1.847314085,1.810287552,1.827479394,1.865925818,1.828034903,1.866246929,1.850258717,1.677,1.678,0.822467033,1.63342,1.62601626,1.75,0,,3.228,1.52,,1.882913
