nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
2,1.667806546,1.667806546,1.667806546,1.667806546,1.667806546,1.667806546,1.667806546,1.667806546,1.667806546,1.667806546,1.667806546,1.667806546
3,2.108939912,2.085002443,2.061064973,2.018319492,1.97728383,1.937957987,1.903761602,1.869565217,1.838788471,1.809721544,1.782608696,1.756717147
4,2.457743039,2.4098681,2.36370298,2.278212018,2.199560332,2.127747924,2.062774792,2.001221299,1.944797264,1.893502687,1.845627748,1.801172447
5,2.748412311,2.678309722,2.611626771,2.488519785,2.375671715,2.27308256,2.18075232,2.096971177,2.020029311,1.949926722,1.885197851,1.826819736
6,3.001465559,2.90913532,2.823644358,2.662921348,2.521006351,2.391060088,2.274792379,2.170493405,2.076453346,1.990962384,1.913043478,1.842208109
7,3.225451881,3.11260381,3.008304836,2.815095261,2.642403517,2.490229604,2.353444064,2.232046898,2.120908647,2.02344895,1.933561309,1.854176844
8,3.427210552,3.29555447,3.172447484,2.948461163,2.75012213,2.575720567,2.420127015,2.281631656,2.15852467,2.049096238,1.949682462,1.861016121
9,3.610161212,3.459697118,3.319491939,3.066438691,2.845872008,2.649242794,2.47826087,2.324377137,2.189301417,2.069614069,1.961406937,1.866145579
10,3.777723498,3.611871031,3.45456766,3.174157303,2.929653151,2.715925745,2.527845628,2.36370298,2.216658525,2.086712262,1.971665852,1.869565217
11,3.935286762,3.750976893,3.579819116,3.272626225,3.007514287,2.776003391,2.573341029,2.395836701,2.239839249,2.10293983,1.980302173,1.87223962
12,4.080966879,3.880439104,3.695320987,3.363423202,3.077799125,2.830449224,2.614506346,2.425884583,2.261017511,2.116218974,1.988135936,1.874006516
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
