1/nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
0.5,0.599589924,0.599589924,0.599589924,0.599589924,0.599589924,0.599589924,0.599589924,0.599589924,0.599589924,0.599589924,0.599589924,0.599589924
0.333333333,0.474171879,0.479615745,0.485186063,0.495461697,0.505744287,0.516007058,0.525275853,0.534883721,0.543836344,0.552571197,0.56097561,0.569243604
0.25,0.40687736,0.41496047,0.423064999,0.43894071,0.454636313,0.469980484,0.484783896,0.499694861,0.514192414,0.528121775,0.541821069,0.555193925
0.2,0.363846427,0.373369813,0.382903105,0.401845308,0.42093358,0.439931227,0.458557348,0.476878276,0.495042322,0.512839785,0.530448303,0.547399385
0.166666667,0.333170573,0.343744752,0.354152249,0.375527426,0.39666699,0.418224538,0.439600558,0.460724736,0.481590401,0.50226966,0.522727273,0.542826836
0.142857143,0.310034078,0.321274425,0.332413121,0.355227766,0.378443335,0.401569397,0.424909185,0.44801926,0.471496027,0.494205698,0.517180394,0.539322882
0.125,0.291782482,0.303439075,0.315214044,0.33915997,0.363620215,0.388240872,0.413201453,0.438282839,0.463279393,0.488020026,0.512904034,0.537340858
0.111111111,0.27699594,0.289042643,0.30125092,0.3261112,0.351386147,0.377466347,0.403508772,0.430222783,0.456766708,0.483181872,0.509838107,0.535863874
0.1,0.264709686,0.276864814,0.289471824,0.315044248,0.341337335,0.368198579,0.395593777,0.423064999,0.451129477,0.479222755,0.507185332,0.534883721
0.090909091,0.254111088,0.266597217,0.279343723,0.30556499,0.332500499,0.360230108,0.388599874,0.417390718,0.446460611,0.47552478,0.50497344,0.534119666
0.083333333,0.24503997,0.257702794,0.270612486,0.297316139,0.324907494,0.353300809,0.382481382,0.412220766,0.442278751,0.472540891,0.502983715,0.533616074
0.076923077,,,,,,,,,,,,
0.071428571,,,,,,,,,,,,
0.066666667,,,,,,,,,,,,
0.0625,,,,,,,,,,,,
0.058823529,,,,,,,,,,,,
0.055555556,,,,,,,,,,,,
0.052631579,,,,,,,,,,,,
0.05,,,,,,,,,,,,
0.047619048,,,,,,,,,,,,
0.045454545,,,,,,,,,,,,
0.043478261,,,,,,,,,,,,
0.041666667,,,,,,,,,,,,
0.04,,,,,,,,,,,,
0.038461538,,,,,,,,,,,,
0.037037037,,,,,,,,,,,,
0.035714286,,,,,,,,,,,,
0.034482759,,,,,,,,,,,,
