nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
2,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137,0.0012223274612738137
3,0.0007644524996579365,0.0007821062936553929,0.0008003787537409051,0.0008346397958676242,0.0008696427636412781,0.0009052951663670819,0.0009381100550598234,0.0009727420231221754,0.0010055770958780391,0.001038138754768999,0.0010699583577026216,0.0011017301544356734
4,0.000562867233499441,0.0005854534523390542,0.0006085455788634747,0.0006550744185119248,0.0007027602027502658,0.0007509976294333927,0.0007990524474134806,0.0008489628459530576,0.000898939051441165,0.0009483028713303514,0.0009981382419647403,0.0010480169998665235
5,0.0004501063569462721,0.0004739770586266872,0.0004984902788655011,0.0005490308158942976,0.0006024292679443553,0.0006580342476689667,0.000714934460055575,0.0007732038268597969,0.0008332274608995478,0.0008942157917009912,0.0009566763656410175,0.001018796694790252
6,0.0003774089443252228,0.0004017455461104833,0.00042644097280708146,0.0004794708826285592,0.0005349719821557044,0.0005946999974759393,0.0006570454131460691,0.0007217087585762235,0.000788559669437353,0.0008577343591534359,0.000929028925873206,0.0010018473130774604
7,0.0003268118403337592,0.00035093867142477696,0.00037569484265420974,0.0004290350029559254,0.0004869458171349796,0.0005482771335484155,0.0006138625737010536,0.0006824522755704729,0.0007558489107773233,0.0008304135234151733,0.0009094169044952992,0.000988955183061678
8,0.0002894658564328471,0.0003130559256122494,0.00033782363747165745,0.0003911002501726557,0.00044954684640459436,0.000512485315016034,0.0005805004997000553,0.0006531122800049166,0.0007297345079421741,0.0008097560567022938,0.0008944398639134164,0.0009816996736501397
9,0.00026087095343858103,0.00028405520879355744,0.000308557196779556,0.0003615849492996623,0.0004198055628449509,0.00048443486682508394,0.0005535857184884309,0.0006293115854591998,0.0007093618053184796,0.0007937800525791126,0.0008837786445116756,0.000976310312108442
10,0.00023824214027869182,0.00026062402516608297,0.00028489938447313337,0.000337459785496649,0.0003961380000638728,0.00046093865818371075,0.0005320810841326054,0.0006085455788634747,0.0006919605355802379,0.0007808251277176334,0.0008746056678415803,0.0009727420231221754
11,0.0005036650706586117,0.0005543777928929406,0.0006086567420922322,0.0007282857127007268,0.0008623413362847679,0.0010121726968061776,0.0011778769250432905,0.001358877087199918,0.001554751203048375,0.0017637657678242363,0.0019889857636771206,0.0022252137750884728
12,0.0004683477763014935,0.000518003695262805,0.0005712027184192738,0.0006894957144437221,0.000823406060110179,0.0009736073994826849,0.0011410776580345707,0.0013254224846534126,0.0015257618476702502,0.001741700172257562,0.0019733424208208867,0.002221019693814306
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
