nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
2,0.219614365,0.219614365,0.219614365,0.219614365,0.219614365,0.219614365,0.219614365,0.219614365,0.219614365,0.219614365,0.219614365,0.219614365
3,0.341163517,0.34116352,0.341163406,0.341163495,0.3411635,0.341163403,0.341163426,0.341163508,0.341163518,0.341163521,0.341163518,0.34116339
4,0.42582295,0.425738908,0.425649006,0.425452395,0.425234104,0.424995854,0.424739263,0.424466787,0.424180438,0.423882765,0.423576213,0.423263023
5,0.490909024,0.490715205,0.490505354,0.490037213,0.489504994,0.488910431,0.488257249,0.487549728,0.486793718,0.485995656,0.48516259,0.48430185
6,0.54378064,0.543479391,0.54314944,0.542400039,0.541528833,0.54053567,0.539422916,0.538197036,0.536866564,0.535442723,0.533938782,0.532369015
7,0.588266138,0.587871281,0.587433464,0.586422392,0.585221602,0.583825796,0.582233852,0.580451061,0.578489044,0.576363165,0.574094537,0.571705878
8,0.626620644,0.626149315,0.625620586,0.624378771,0.622873753,0.621090403,0.619022167,0.616671126,0.61404898,0.611175747,0.608080954,0.604797943
9,0.659791397,0.659758795,0.659156639,0.657318753,0.655940452,0.653794701,0.651265088,0.648348437,0.64505551,0.641410327,0.637314635,0.633108131
10,0.690078449,0.689682412,0.689023794,0.687296798,0.685406053,0.682926492,0.679956985,0.676486087,0.672522422,0.668091874,0.663216372,0.658010828
11,0.717222427,0.716620453,0.715920944,0.714192234,0.711966226,0.709182636,0.705797679,0.70178937,0.697160939,0.691941509,0.686185374,0.679967734
12,0.741706886,0.741089538,0.740362972,0.738535015,0.736131999,0.733073657,0.729298667,0.724771726,0.719489723,0.713482839,0.706814399,0.699575897
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
