1/nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
0.5,0.662721204,0.671621656,0.680296978,0.700150052,0.717028434,0.734866489,0.7517265,0.770168481,0.786702536,0.803441377,0.820681001,0.835529475
0.333333333,0.505385928,0.516743497,0.528283968,0.546419457,0.57453923,0.597153384,0.619580813,0.642792994,0.66529945,0.6871691,0.709460747,0.732734501
0.25,0.425707138,0.438056672,0.450767869,0.472832499,0.50126452,0.528283968,0.555317755,0.580268052,0.606328086,0.631346113,0.656782312,0.680641894
0.2,0.375812164,0.389056753,0.40233737,0.42996963,0.456687926,0.485306843,0.512765319,0.541670526,0.569953669,0.598822194,0.626313744,0.653387718
0.166666667,0.341082533,0.354681107,0.368523386,0.396765353,0.424720677,0.455167047,0.486573082,0.515543108,0.545703683,0.574863736,0.605612343,0.634517227
0.142857143,0.315105353,0.328995948,0.343135694,0.372430756,0.401682999,0.432891278,0.463019633,0.495621246,0.527740538,0.560163882,0.590962631,0.622787557
0.125,0.294999279,0.308949261,0.323355185,0.353052777,0.38383649,0.415381494,0.447872224,0.48046004,0.513611843,0.546887523,0.579394282,0.611866687
0.111111111,0.278617123,0.292797761,0.307334284,0.337482483,0.368795604,0.401333203,0.434561087,0.468367464,0.502577952,0.536847627,0.570910612,0.604637424
0.1,0.265052441,0.279326764,0.293982479,0.324508561,0.35643392,0.389496718,0.423546451,0.458146822,0.493490839,0.528530855,0.563834183,0.598450519
0.090909091,0.253624086,0.26797007,0.282715282,0.313452262,0.345747825,0.379390233,0.414120979,0.449593675,0.485588898,0.521794545,0.558069793,0.593677494
0.083333333,0.243835616,0.25814574,0.273006135,0.304024952,0.336649947,0.370631903,0.405909181,0.442068891,0.479054528,0.516202244,0.553168491,0.589828555
0.076923077,0.235314404,0.249649778,0.26453864,0.295681063,0.328676943,0.363072011,0.398986454,0.435717327,0.473240088,0.51104731,0.549087983,0.586448933
0.071428571,0.227773451,0.242155688,0.257063921,0.288391096,0.321577252,0.35643392,0.392672166,0.429996849,0.468367464,0.506934126,0.545430322,0.583523375
0.066666667,0.221058315,0.235459374,0.25038224,0.281858867,0.315165512,0.350333733,0.387040656,0.42495329,0.463720182,0.503080665,0.542323486,0.581243482
0.0625,0.215084996,0.229459615,0.244403181,0.275934575,0.309506745,0.34494491,0.381946873,0.42033975,0.459753505,0.499585335,0.539525931,0.579173892
0.058823529,0.209653646,0.224058814,0.238994078,0.270598879,0.304352682,0.340034409,0.377516326,0.416265279,0.4560911,0.496620921,0.537103644,0.577052555
0.055555556,0.204761941,0.219144197,0.234099238,0.265775078,0.299690724,0.335586006,0.373231941,0.412573839,0.452773332,0.493719336,0.534947084,0.575489271
0.052631579,0.200299222,0.214641828,0.229594547,0.261322267,0.295363245,0.331423542,0.369447411,0.409043657,0.449747313,0.491312782,0.532737313,0.574120282
0.05,0.196174111,0.210514413,0.225475944,0.257251009,0.291401338,0.327708467,0.36597197,0.405957348,0.446970505,0.488889328,0.530997736,0.572916606
0.047619048,0.192382457,0.206708481,0.22169406,0.253448424,0.287675413,0.324182592,0.362763521,0.402951761,0.4444083,0.486887739,0.529421934,0.571535429
0.045454545,0.188886462,0.203192193,0.218161286,0.2500002,0.284308795,0.320915115,0.359660925,0.400158411,0.442032251,0.484817578,0.527987798,0.570597239
0.043478261,0.185620529,0.199915781,0.214847251,0.246687959,0.28110767,0.317874239,0.356890102,0.397705171,0.440007839,0.483119307,0.526677031,0.569765644
0.041666667,0.18260146,0.196854531,0.211802903,0.243679634,0.278143051,0.315057487,0.35420635,0.395297066,0.437888539,0.481374302,0.525406921,0.56879024
0.04,0.179754722,0.193997077,0.208936091,0.240802912,0.275352381,0.31239334,0.35171394,0.393070471,0.435942774,0.479796301,0.524165521,0.567977147
0.038461538,0.17710142,0.191320952,0.206232207,0.23813636,0.272730539,0.309897628,0.349396189,0.390974804,0.43414184,0.478372078,0.522996789,0.567271605
0.037037037,0.174603501,0.188800419,0.203703867,0.235611161,0.270269266,0.3075304,0.347209711,0.38897512,0.432446941,0.477012371,0.521983638,0.566612366
0.035714286,0.172248951,0.186423708,0.201318331,0.233237186,0.267943008,0.305309924,0.345141729,0.387112444,0.430810018,0.475688857,0.521037045,0.566016804
0.034482759,,0.184179022,,,,,,,,,,
0.033333333,0.167923364,0.182056018,0.19692396,0.228828258,0.263619482,0.301224065,0.34136331,0.383697511,0.427856424,0.473297281,0.519370135,0.564923557
