nv,P1.0,P1.05,P1.1,P1.2,P1.3,P1.4,P1.5,P1.6,P1.7,P1.8,P1.9,P2.0
2,0.001712878,4.51E-06,0.001804936,0.001911819,0.002005106,0.002106112,0.002203862,0.002313322,0.002413713,0.00251752,0.002626717,0.002373572
3,0.000996118,2.67E-06,0.001088427,0.001164439,0.001287372,0.001390709,0.001497133,0.001611413,0.001726231,0.001841585,0.001963005,0.001825459
4,0.000706784,1.92E-06,0.000792448,0.000871925,0.000979938,0.001088427,0.001202673,0.001313173,0.001433772,0.001554532,0.001682316,0.00157513
5,0.000550816,3.03E-06,0.000631314,0.000721008,0.000813399,0.000918539,0.00102542,0.001144287,0.001266904,0.001398493,0.001529849,0.001451513
6,0.000453715,2.52E-06,0.000529657,0.000613949,0.000703512,0.00080799,0.000923338,0.00103656,0.001161391,0.001288826,0.001430389,0.001368881
7,0.000387236,2.16E-06,0.000459194,0.000540948,0.000629262,0.00073084,0.00083611,0.000957998,0.001086189,0.001223756,0.001362024,0.001318739
8,0.000339396,2.86E-06,0.000250941,0.000299151,0.000353593,0.0004141,0.000481415,0.00055402,0.000633113,0.000717806,0.000805675,0.000898514
9,0.000302747,2.57E-06,0.00022669,0.000273347,0.000326424,0.000386564,0.000453224,0.000526483,0.000606203,0.000691693,0.000782253,0.000877407
10,0.000273986,2.34E-06,0.000207422,0.000252734,0.000304908,0.000364098,0.00043054,0.000503756,0.00058448,0.000670428,0.000762982,0.000859543
11,0.000250868,2.87E-06,0.000191827,0.000235806,0.0002869,0.000345449,0.000411591,0.000485123,0.000565912,0.000653447,0.000747461,0.000845887
12,0.000231878,2.67E-06,0.000178878,0.000221835,0.000272,0.000329683,0.000395429,0.00046902,0.000550784,0.000639515,0.000734389,0.000834955
13,0.000215954,3.12E-06,0.000167954,0.000209825,0.000259268,0.000316371,0.000382056,0.000455639,0.000537495,0.000626806,0.000723594,0.000825414
14,0.000202335,2.93E-06,0.000158596,0.000199607,0.000248189,0.000304908,0.000370059,0.000443753,0.000526483,0.000616757,0.000713986,0.000817199
15,0.00019058,2.77E-06,0.000150459,0.000190667,0.00023839,0.000294561,0.000359521,0.000433405,0.000516087,0.000607416,0.000705875,0.000810826
16,0.00018042,6.32E-06,0.000232958,0.000296946,0.000373598,0.000464049,0.000568945,0.000689073,0.000824356,0.000973383,0.001135244,0.001308225
17,0.000171423,6.02E-06,0.000222761,0.000285573,0.000361259,0.000450931,0.000555822,0.000675779,0.000811274,0.000961866,0.001125073,0.00129866
18,0.000163517,5.76E-06,0.00021373,0.000275482,0.000350277,0.00043921,0.000543278,0.000663847,0.000799514,0.000950659,0.001116057,0.001291633
19,0.000156467,5.53E-06,0.000205583,0.000266328,0.000340234,0.000428382,0.000532316,0.000652535,0.000788863,0.000941414,0.001106855,0.001285495
20,0.000150089,5.32E-06,0.000198274,0.000258095,0.000331167,0.000418832,0.000522348,0.000642725,0.000779152,0.00093215,0.001099639,0.00128011
21,0.000288686,1.15E-05,0.000383356,0.000501042,0.000645506,0.000819736,0.00102646,0.001266487,0.00154049,0.001849065,0.002186243,0.002547891
22,0.000278289,1.11E-05,0.000371236,0.000487501,0.000630486,0.000803295,0.001008977,0.001248989,0.001524062,0.001833375,0.002174415,0.002539533
23,0.000516825,0.000219815,0.00069239,0.000912824,0.001185323,0.00151566,0.001910558,0.002372541,0.002904103,0.003501064,0.00416083,0.004869493
24,0.000500149,0.000387517,0.000672907,0.000890696,0.001160453,0.001488918,0.001881932,0.002343897,0.002876196,0.003475818,0.004140786,0.004852835
25,0.000484676,0.000451618,0.000654814,0.000869791,0.001137284,0.001463844,0.00185554,0.002317566,0.002850692,0.003453067,0.004121242,0.004838971
26,,,,,,,,,,,,0.0096334
27,,,,,,,,,,,,0.00965583
28,,,,,,,,,,,,0.00967616
29,,0.000318018,,,,,,,,,,
30,,,,,,,,,,,,0.019427294
